<Header file>
software;created;content;srcAixmFile;srcAixmOrigin;srcAixmVersion;srcAixmCreated;srcAixmEffective;
(aixmParser v2.6.0) RemoteCall;2020-05-23T11:52:24.018123;airspacesCatalog;../tst/aixm4.5_SIA-FR_map-Airspaces.xml;BPa;4.5;2020-03-18T17:50:01.141+01:00;2019-12-05T00:00:00.000+01:00;

<Content>
"zoneType";"groupZone";"vfrZone";"freeFlightZone";"excludeAirspaceByReferential";"potentialFilter4FreeFlightZone";"orgName";"UId";"id";"type";"class";"name";"groundEstimatedHeight";"ordinalLowerM";"lowerM";"ordinalUpperM";"upperM";"nameV";"alt";"altM";"altV";"exceptSAT";"exceptSUN";"exceptHOL";"upperType";"upperValue";"upperUnit";"lowerType";"lowerValue";"lowerUnit";"activationCode";"activationDesc";"desc";
"Airspace Zone";"False";"True";"True";;;;"1564417";"LFRH";"CTR";"D";"LORIENT";;;"0";;"762";"[D] CTR LORIENT (LFRH)";"[SFC/2500FT AMSL]";"[0m/762m]";"[SFC(0m)/2500FT AMSL(762m)]";;;;"ALT";"2500";"FT";"HEI";"0";"FT";"HX";"Possible activation H24";"OAT/GAT procedures. CTR deactivation announced on RAI 123.0 or IROISE INFO 119.575 Except for LF- R 14, LF- R 13 A1, LF-R 13 A2 and LF-R 13 B1 when active. Flying over LORIENT AD prohibited BLW 1000ft ASFC.";
"Airspace Zone";"False";"True";"False";"True";"True";;"1562265";"LFD214";"D";"D";"214";"?";;"0";;"5943";"[D] 214 (LFD214)";"[SFC/FL195]";"[0m/5943m]";"[SFC(0m)/FL195(5943m)]";;;;"STD";"195";"FL";"HEI";"0";"FT";"HX";"MON, FRI: H24. Other hours: announced by NOTAM.";"Administrator CCMAR ATLANTIQUE (ARMOR) 124.725 MHz. Airspace defined except for LORIENT TMA when active. IFR flights following QPR-STG axis: entry permitted, follow BREST ACC/FIC instructions. Activity known on: - BREST ACC/FIC/UAC 125.5 - 134.2 MHz - LANN BIHOUE APP 123.0 MHz";
"Airspace Zone";"False";"True";"True";;;;"1566591";"LFR15A";"R";"R";"15 A";;;"0";;"2590";"[R] 15 A (LFR15A)";"[SFC/FL85]";"[0m/2590m]";"[SFC(0m)/FL85(2590m)]";;;;"STD";"85";"FL";"HEI";"0";"FT";"HX";"Possible activation: SR-30 to SS+30";"Avoidance mandatory during activity except for ACFT to and from Brienne le Château AD, helicopter to and from Blignicourt heliport and aircraft for air dropping after radio contact on 123.425 MHz. Activation known on: PARIS INFO: 126.1 MHz SEINE INFO: 120.325 MHz SAINT DIZIER APP: 134.775 PARIS ACC: 120.950 MHz.";
"Airspace Zone";"False";"True";"True";;;;"1566593";"LFR15B";"R";"R";"15 B";;;"2590";;"5943";"[R] 15 B (LFR15B)";"[FL85/FL195]";"[2590m/5943m]";"[FL85(2590m)/FL195(5943m)]";;;;"STD";"195";"FL";"STD";"85";"FL";"HX";"Possible activation:SR-30 to SS+30";"Avoidance mandatory during activity except for ACFT to and from Brienne le Château AD and aircraft for air dropping after radio contact on 123.425 MHz. Activation known on: PARIS INFO: 126.1 MHz SEINE INFO: 120.325 MHz SAINT DIZIER APP: 134.775 MHz PARIS ACC: 120.950 MHz";
"Airspace Zone";"False";"True";"True";;;;"1563013";"LFR164A2";"R";"R";"164 A2";;;"0";;"1981";"[R] 164 A2 (LFR164A2)";"[SFC/6500FT AMSL]";"[0m/1981m]";"[SFC(0m)/6500FT AMSL(1981m)]";;;"Yes";"ALT";"6500";"FT";"HEI";"0";"FT";"HX";"Possible activation MON-THU except HOL: 0800-2300 FRI except HOL: 0800-1700 SUM: - 1HR";"Except for Alsace LF- R 152 when active. Administrator: OCHEY INFO 130.275 or 03 83 52 64 46. GAT IFR/VFR: Authorised after radio contact, follow instructions. Activity known on OCHEY INFO or RAI 130.275.";
"Airspace Zone";"False";"False";"False";;;;"400002196660360";"LISFRAM01A";"PART";"PART";"LISFRAM01A";"?";;"1524";;"3048";"[PART] LISFRAM01A (LISFRAM01A)";"[FL50/FL100]";"[1524m/3048m]";"[FL50(1524m)/FL100(3048m)]";;;;"STD";"100";"FL";"STD";"50";"FL";"H24";;;
"Airspace Zone";"False";"True";"True";;;;"1560895";"LFOB1";"TMA";"D";"BEAUVAIS 1";;;"457";;"762";"[D] TMA BEAUVAIS 1 (LFOB1)";"[1500FT AMSL/2500FT AMSL]";"[457m/762m]";"[1500FT AMSL(457m)/2500FT AMSL(762m)]";;;;"ALT";"2500";"FT";"ALT";"1500";"FT";"HO";"WIN: 0615-2200, SUM: -1HR Extension for all scheduled commercial flights. Extension pour tout vol commercial programmé.";"Activation known on BEAUVAIS APP or ATIS 118.375MHz and phone number 03 44 11 49 28.";
"Airspace Zone";"False";"True";"True";;;;"1566073";"LFOB2.1";"TMA";"D";"BEAUVAIS 2.1";;;"762";;"1371";"[D] TMA BEAUVAIS 2.1 (LFOB2.1)";"[2500FT AMSL/4500FT AMSL]";"[762m/1371m]";"[2500FT AMSL(762m)/4500FT AMSL(1371m)]";;;;"ALT";"4500";"FT";"ALT";"2500";"FT";"TIMSH";"WIN: 0615-2200, SUM: -1HR";"Extension for all scheduled commercial flights. Activation known on BEAUVAIS APP or on ATIS 118.375MHz and phone number 03 44 11 49 28.";
"Airspace Zone";"False";"True";"True";;;;"1566077";"LFOB3";"TMA";"D";"BEAUVAIS 3";;;"1371";;"1981";"[D] TMA BEAUVAIS 3 (LFOB3)";"[4500FT AMSL/FL65]";"[1371m/1981m]";"[4500FT AMSL(1371m)/FL65(1981m)]";;;;"STD";"65";"FL";"ALT";"4500";"FT";"TIMSH";"WIN: 0615-2200, SUM: -1HR";"Extension for all scheduled commercial flights. Activation known on BEAUVAIS APP or on ATIS 118.375MHz and phone number 03 44 11 49 28.";
"Airspace Zone";"False";"True";"True";;;;"1566079";"LFOB2.2";"TMA";"D";"BEAUVAIS 2.2";;;"762";;"1371";"[D] TMA BEAUVAIS 2.2 (LFOB2.2)";"[2500FT AMSL/4500FT AMSL]";"[762m/1371m]";"[2500FT AMSL(762m)/4500FT AMSL(1371m)]";;;;"ALT";"4500";"FT";"ALT";"2500";"FT";"TIMSH";"WIN: 0615-2200, SUM: -1HR";"Extension for all scheduled commercial flights. Activation known on BEAUVAIS APP or on ATIS 118.375MHz and phone number 03 44 11 49 28. Can be downgraded to class E for certain air activities, in accordance with protocol.";
"Airspace Zone";"False";"True";"True";;;;"1561455";"LFOB";"CTR";"D";"BEAUVAIS";;;"0";;"457";"[D] CTR BEAUVAIS (LFOB)";"[SFC/1500FT AMSL]";"[0m/457m]";"[SFC(0m)/1500FT AMSL(457m)]";;;;"ALT";"1500";"FT";"HEI";"0";"FT";"TIMSH";"0615-2200, SUM: -1HR";"Extension for all scheduled commercial flights. Activity known on ATIS 118.380 MHz or phone 03 44 84 69 41.";
"Airspace Zone";"False";"True";"True";;;;"1566067";"LFOB4";"TMA";"D";"BEAUVAIS 4";;;"762";;"1981";"[D] TMA BEAUVAIS 4 (LFOB4)";"[2500FT AMSL/FL65]";"[762m/1981m]";"[2500FT AMSL(762m)/FL65(1981m)]";;;;"STD";"65";"FL";"ALT";"2500";"FT";"TIMSH";"WIN: 0615-2200, SUM: -1HR";"Extension for all scheduled commercial flights. Activation known on BEAUVAIS APP or on ATIS 118.375MHz and phone number 03 44 11 49 28. Can be downgraded to class E for certain air activities, in accordance with protocol.";
"Airspace Zone";"False";"True";"True";;;;"23717425";"LFOB5";"TMA";"D";"BEAUVAIS 5";;;"1981";;"2590";"[D] TMA BEAUVAIS 5 (LFOB5)";"[FL065/FL085]";"[1981m/2590m]";"[FL065(1981m)/FL085(2590m)]";;;;"STD";"085";"FL";"STD";"065";"FL";"HO";"WIN: 0615-2200, SUM: -1HR Extension pour tout vol commercial programmé. Extension for all scheduled commercial flights.";"Activation known on BEAUVAIS APP or ATIS 118.375 MHz and phone number 03 44 11 49 28.";
"Airspace Zone";"False";"True";"True";;;;"1561401";"LFAQ";"CTR";"D";"ALBERT BRAY";;;"0";;"609";"[D] CTR ALBERT BRAY (LFAQ)";"[SFC/2000FT AMSL]";"[0m/609m]";"[SFC(0m)/2000FT AMSL(609m)]";;;;"ALT";"2000";"FT";"HEI";"0";"FT";"TIMSH";"WIN: MON-FRI: 0800-1800 SAT: 0830-1600 SUM:- MON-FRI: 0700-1700 SAT: 0730-1600 SUN and public HOL: not provided";"Outside these SKED, PPR last working day before 1300 to AD operator. Users information on request through ALBERT TWR or LILLE APP.";
"Airspace Zone";"False";"False";"False";;;;"1561747";"LFEE";"FIR";"G";"REIMS";"?";;"0";;"5943";"[G] FIR REIMS (LFEE)";"[SFC/FL195]";"[0m/5943m]";"[SFC(0m)/FL195(5943m)]";;;;"STD";"195";"FL";"HEI";"0";"FT";"H24";;"ACC location: REIMS AFS address: LFEEZRZX Phone number: 03 26 84 62 33 Address: B.P. 2702 51051 REIMS CEDEX Frequencies: see ENR 6.1";
"Airspace Zone";"False";"True";"False";"True";"True";;"1564511";"LFR222B";"R";"R";"222 B";"?";;"0";;"7010";"[R] 222 B (LFR222B)";"[SFC/FL230]";"[0m/7010m]";"[SFC(0m)/FL230(7010m)]";;;;"STD";"230";"FL";"HEI";"0";"FT";"NOTAM";"Possible activation HN by NOTAM.";"Administrator: 93ème RAM. GAT: avoidance mandatory. OAT: with authorization from administrator. Activity schedule available on: (0600-1000, 1200-1600): 04 56 85 74 81 or 04 56 85 74 06. Actual activity known on MARSEILLE ACC/FIC. Safety officer 93ème RAM: 06 73 90 50 33";
"Airspace Zone";"False";"False";"False";;;;"1560933";"LFLC2";"TMA";"D";"CLERMONT 2";"?";;"4419";;"5943";"[D] TMA CLERMONT 2 (LFLC2)";"[FL145/FL195]";"[4419m/5943m]";"[FL145(4419m)/FL195(5943m)]";;;;"STD";"195";"FL";"STD";"145";"FL";"H24";"H24";;
"Airspace Zone";"False";"True";"False";"True";;;"1560937";"LFLC2.20";"TMA";"D";"CLERMONT 2.20";"?";;"1676";;"4419";"[D] TMA CLERMONT 2.20 (LFLC2.20)";"[5500FT AMSL/FL145]";"[1676m/4419m]";"[5500FT AMSL(1676m)/FL145(4419m)]";;;;"STD";"145";"FL";"ALT";"5500";"FT";"H24";"H24";"Lower limit FL 065 within VIC part 2.1lateral limits. Lower limit FL 110 within CHAMPEIX part 2.2lateral limits. Lower limit FL 085 within ORCINES part 2.3 lateral limits.";
"Airspace Zone";"False";"True";"False";;;;"1561901";"LFLC2.30";"TMA";"E";"CLERMONT 2.30";"?";;"822";;"1676";"[E] TMA CLERMONT 2.30 (LFLC2.30)";"[2700FT AMSL/5500FT AMSL]";"[822m/1676m]";"[2700FT AMSL(822m)/5500FT AMSL(1676m)]";;;;"ALT";"5500";"FT";"ALT";"2700";"FT";"H24";"H24";"Lower limit FL 065 within VIC part 2.1 lateral limits. Lower limit FL 110 within CHAMPEIX part 2.2 lateral limits. Lower limit FL 085 within ORCINES part 2.3 lateral limits.";

<EOF>
